ANIO,COD_DPTO,NOM_DPTO,NOM_MUSEO,COD_MES,NOM_MES,COD_TIPO,NOM_TIPO,ADU_BOLESPPAGANTES,EST_BOLESPPAGANTES,NIN_BOLESPPAGANTES,MIL_BOLESPPAGANTES,ADM_BOLESPPAGANTES,ADU_PAGANTES,EST_PAGANTES,NIN_PAGANTES,TOTAL_PAGANTES,ADU_BOLESPNOPAGANTES,EST_BOLESPNOPAGANTES,NIN_BOLESPNOPAGANTES,MIL_BOLESPNOPAGANTES,ADM_BOLESPNOPAGANTES,ADU_NOPAGANTES,EST_NOPAGANTES,NIN_NOPAGANTES,TOTAL_NOPAGANTES,TOTAL,FECHA,ADULTOS,ADULTO_MAYOR,ESTUDIANTE,NIÑOS,MILITAR,IDMUSEO
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",1,Enero,0,Nacionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,8,53,391,391,2007-01-01,330,0,8,53,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",1,Enero,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,17,2007-01-01,17,0,0,0,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",2,Febrero,0,Nacionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,13,64,294,294,2007-02-01,217,0,13,64,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",2,Febrero,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19,2007-02-01,19,0,0,0,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",3,Marzo,0,Nacionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,72,301,591,591,2007-03-01,218,0,72,301,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",3,Marzo,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,23,2007-03-01,23,0,0,0,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",4,Abril,0,Nacionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,52,92,428,428,2007-04-01,284,0,52,92,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",4,Abril,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,16,2007-04-01,16,0,0,0,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",5,Mayo,0,Nacionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,20,201,439,439,2007-05-01,218,0,20,201,0,51
2007,1,Amazonas,"Sala de Exhibicion ""Gilberto Tenorio Ruiz""",5,Mayo,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,32,2007-05-01,32,0,0,0,0,51
